query,clicks,impressions,ctr,avg_position,prev_clicks,prev_impressions,prev_ctr,prev_avg_position,data_source
"home inspector fishers, in",0,135,0.0%,6.88,0,20,0.0%,6.25,GSC (real export)
"home inspection orestes, in",0,133,0.0%,9.73,0,8,0.0%,11.5,GSC (real export)
"home inspections avon, in",0,125,0.0%,9.6,0,0,0.0%,0.0,GSC (real export)
"home inspection walkerton, in",0,123,0.0%,17.53,0,4,0.0%,46.0,GSC (real export)
"home inspections spiceland, in",0,121,0.0%,11.59,0,1,0.0%,11.0,GSC (real export)
"home inspectors noblesville, in",0,119,0.0%,7.45,0,12,0.0%,6.75,GSC (real export)
"home inspection wallace, in",0,118,0.0%,10.95,0,23,0.0%,13.43,GSC (real export)
"home inspection spiceland, in",0,118,0.0%,11.0,0,0,0.0%,0.0,GSC (real export)
"home inspectors avon, in",0,117,0.0%,10.52,0,3,0.0%,20.67,GSC (real export)
"home inspection roann, in",0,115,0.0%,10.62,0,0,0.0%,0.0,GSC (real export)
"home inspections wallace, in",0,114,0.0%,12.38,0,1,0.0%,13.0,GSC (real export)
"home inspector wallace, in",0,112,0.0%,15.0,0,1,0.0%,16.0,GSC (real export)
home inspector indianapolis in,0,105,0.0%,6.3,0,128,0.0%,6.88,GSC (real export)
"home inspector warsaw, in",0,105,0.0%,39.67,0,0,0.0%,0.0,GSC (real export)
"home inspection walton, in",0,102,0.0%,13.64,0,2,0.0%,14.0,GSC (real export)
"home inspections goldsmith, in",0,102,0.0%,13.85,0,10,0.0%,14.4,GSC (real export)
"radon testing roann, in",0,102,0.0%,27.63,0,13,0.0%,28.0,GSC (real export)
"home inspection unionville, in",0,100,0.0%,17.18,0,36,0.0%,13.31,GSC (real export)
"home inspectors wallace, in",0,100,0.0%,19.22,0,11,0.0%,22.82,GSC (real export)
"home inspector frankton, in",0,99,0.0%,13.91,0,2,0.0%,28.5,GSC (real export)
home inspectors indianapolis in,0,98,0.0%,4.49,0,135,0.0%,5.81,GSC (real export)
home inspections indianapolis in,0,96,0.0%,5.25,0,147,0.0%,6.41,GSC (real export)
"mold detection peru, in",0,96,0.0%,20.99,0,7,0.0%,31.0,GSC (real export)
"radon testing goodland, in",0,95,0.0%,22.91,0,6,0.0%,17.83,GSC (real export)
"radon testing south whitley, in",0,94,0.0%,19.86,0,7,0.0%,18.86,GSC (real export)
"radon testing bremen, in",0,94,0.0%,20.74,0,6,0.0%,18.67,GSC (real export)
"radon testing peru, in",0,94,0.0%,21.98,0,9,0.0%,21.56,GSC (real export)
"home inspection crawfordsville, in",0,94,0.0%,43.07,0,5,0.0%,47.0,GSC (real export)
"radon testing walkerton, in",0,93,0.0%,16.74,0,7,0.0%,22.86,GSC (real export)
"radon testing kirklin, in",0,93,0.0%,22.86,0,7,0.0%,18.14,GSC (real export)
"water quality testing galveston, in",0,93,0.0%,29.37,0,2,0.0%,47.0,GSC (real export)
"radon testing cromwell, in",0,92,0.0%,19.78,0,9,0.0%,18.89,GSC (real export)
mold inspection near me,0,91,0.0%,1.0,0,5,0.0%,10.8,GSC (real export)
"spore detection galveston, in",0,91,0.0%,28.48,0,6,0.0%,23.5,GSC (real export)
"home inspectors franklin, in",0,89,0.0%,33.54,0,1,0.0%,38.0,GSC (real export)
"mold detection cambridge city, in",0,88,0.0%,34.69,0,3,0.0%,48.33,GSC (real export)
"home inspection ingalls, in",0,87,0.0%,10.85,0,6,0.0%,10.5,GSC (real export)
"home inspection franklin, in",0,87,0.0%,38.49,0,1,0.0%,45.0,GSC (real export)
home inspections avon in,0,85,0.0%,10.35,0,11,0.0%,10.73,GSC (real export)
"radon testing idaville, in",0,84,0.0%,27.02,0,9,0.0%,23.89,GSC (real export)
home inspectors zionsville in,0,83,0.0%,28.08,0,82,0.0%,30.94,GSC (real export)
"home inspectors needham, in",0,83,0.0%,29.41,0,11,0.0%,26.0,GSC (real export)
"home inspector walkerton, in",0,83,0.0%,36.4,0,0,0.0%,0.0,GSC (real export)
"home inspections ingalls, in",0,82,0.0%,10.06,0,21,0.0%,10.29,GSC (real export)
"home inspections beech grove, in",0,82,0.0%,25.17,0,35,0.0%,30.54,GSC (real export)
"home inspectors walkerton, in",0,82,0.0%,37.65,0,23,0.0%,40.17,GSC (real export)
"home inspectors zionsville, in",0,80,0.0%,28.24,0,28,0.0%,31.46,GSC (real export)
"home inspector zionsville, in",0,80,0.0%,29.74,0,29,0.0%,32.93,GSC (real export)
"home inspectors atlanta, in",0,80,0.0%,39.0,0,0,0.0%,0.0,GSC (real export)
"home inspections needham, in",0,79,0.0%,27.82,0,16,0.0%,32.5,GSC (real export)
"radon testing otterbein, in",0,79,0.0%,29.52,0,4,0.0%,31.25,GSC (real export)
"mold detection lakeville, in",0,79,0.0%,36.57,0,5,0.0%,32.4,GSC (real export)
plumbing inspection greenwood in,0,77,0.0%,9.82,0,26,0.0%,11.27,GSC (real export)
"home inspections crawfordsville, in",0,77,0.0%,43.32,0,7,0.0%,48.86,GSC (real export)
"radon testing spiceland, in",0,76,0.0%,24.2,0,5,0.0%,19.8,GSC (real export)
home inspector indianapolis,0,75,0.0%,6.65,1,93,1.08%,6.46,GSC (real export)
home inspector avon in,0,75,0.0%,10.53,0,24,0.0%,21.21,GSC (real export)
"home inspectors warsaw, in",0,75,0.0%,26.56,0,6,0.0%,34.33,GSC (real export)
home inspection avon in,0,74,0.0%,9.78,0,51,0.0%,21.78,GSC (real export)
"radon testing plymouth, in",0,74,0.0%,29.15,0,1,0.0%,28.0,GSC (real export)
"spore detection lakeville, in",0,74,0.0%,38.26,0,1,0.0%,39.0,GSC (real export)
"mold detection pierceton, in",0,73,0.0%,34.51,0,6,0.0%,38.17,GSC (real export)
home inspectors avon in,0,72,0.0%,10.46,0,18,0.0%,17.44,GSC (real export)
"home inspections eaton, in",0,72,0.0%,27.25,0,10,0.0%,45.6,GSC (real export)
"home inspections fortville, in",0,72,0.0%,31.36,0,12,0.0%,44.5,GSC (real export)
home inspector zionsville in,0,72,0.0%,32.15,0,81,0.0%,33.1,GSC (real export)
"mold detection urbana, in",0,72,0.0%,35.56,0,3,0.0%,40.33,GSC (real export)
lead testing near me,0,71,0.0%,1.0,0,99,0.0%,1.0,GSC (real export)
"home inspections franklin, in",0,71,0.0%,30.41,0,2,0.0%,33.0,GSC (real export)
"spore detection north manchester, in",0,71,0.0%,37.1,0,2,0.0%,36.5,GSC (real export)
home inspectors greenwood in,0,70,0.0%,22.99,0,63,0.0%,19.97,GSC (real export)
"home inspection fortville, in",0,70,0.0%,38.06,0,9,0.0%,43.67,GSC (real export)
"radon testing new castle, in",0,69,0.0%,33.06,0,1,0.0%,32.0,GSC (real export)
"spore detection losantville, in",0,69,0.0%,46.41,0,7,0.0%,48.57,GSC (real export)
"home inspection fowler, in",0,68,0.0%,20.04,0,0,0.0%,0.0,GSC (real export)
"home inspections crawfordsvlle, in",0,68,0.0%,43.35,0,5,0.0%,48.4,GSC (real export)
"home inspector spiceland, in",0,67,0.0%,11.46,0,0,0.0%,0.0,GSC (real export)
