query,position,impressions,clicks,ctr,ranking_url,search_intent,priority,data_source
home inspector carmel in,11.0,41,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspector clermont in,18.12,40,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspector noblesville in,8.33,39,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
foundation inspection carmel,9.03,38,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspectors noblesville in,8.6,35,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspection whiting, in",17.59,34,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
commercial inspections carmel indianapolis,6.97,33,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection noblesville in,8.33,33,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection carmel,8.88,32,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection clermont in,15.5,32,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspections clermont in,18.12,32,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
mold inspection,4.61,31,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
allcheck login,6.55,31,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
"radon testing mentone, in",17.13,30,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
best home inspectors indianapolis,4.76,29,2,6.9%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
how to fix creaky floorboards,8.97,29,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspectors clermont in,15.75,28,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspections indianapolis,6.96,27,1,3.7%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection,4.6,25,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
"home inspectors pierceton, in",11.76,25,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspection lake station, in",15.92,25,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection noblesville,7.52,23,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspections pierceton, in",10.87,23,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
all county home inspections reviews,11.77,22,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspector fishers,6.29,21,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
how to fix squeaky floors,8.71,21,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspection hamilton,15.29,21,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspectors indiana,10.6,20,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
"radon testing romney, in",18.45,20,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"radon testing warsaw, in",18.7,20,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
allcheck property inspections,13.37,19,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
home inspection fishers,6.44,18,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspections near cayuga in,13.67,18,0,0.0%,Needs query+page crosstab export to confirm,commercial - service,Medium,GSC (real export)
"home inspector clear creek, in",19.76,17,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection near me,4.69,16,0,0.0%,Needs query+page crosstab export to confirm,local commercial - near me,Medium,GSC (real export)
noblesville plumbing inspection,8.12,16,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspector carmel,8.44,16,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
indianapolis home inspections,9.38,16,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspector noblesville,5.93,15,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspections roann, in",10.2,15,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection avon,12.4,15,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
home inspection greenwood,14.8,15,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
"home inspection pierceton, in",14.87,15,0,0.0%,Needs query+page crosstab export to confirm,local commercial - city/service,Medium,GSC (real export)
